word vector file:		GiTuCo.filt.uniq.stemB.format_S_Rcuspod.samp44p_w5_v200_mc10_i5_cbow.w2v.vec
corpus file:			GiTuCo.filt.uniq.stemB.sample
input file:				_arg_verb_list_50x100
minimum sample size:	30
minimum context size:	15
window size:			20
filters:				cuspod
is keyword included?	true
PCA variance threshold:	0.45
number of threads:		8

arg	verb	sample size	argComp	verbComp	phraseAvgComp	phrasePCAcomp
çare:2	bak:v	null	null	null	null	null
gözlE:v	bak:v	null	null	null	null	null
pencere:3	bak:v	null	null	null	null	null
gökyüzü&:2	bak:v	null	null	null	null	null
sıcaK:0	bak:v	null	null	null	null	null
etraf:2	bak:v	null	null	null	null	null
arka:2	bak:v	1	null	null	null	null
iç:2	bak:v	1	null	null	null	null
nere:3	bak:v	null	null	null	null	null
göz:2	bak:v	null	null	null	null	null
keyfi:2	bak:v	null	null	null	null	null
surat:2	bak:v	2	null	null	null	null
bak:v	bak:v	1	null	null	null	null
yorum:2	bak:v	null	null	null	null	null
umutlE:v	bak:v	null	null	null	null	null
bön:0	bak:v	null	null	null	null	null
perspektif:3	bak:v	null	null	null	null	null
icaP:2	bak:v	null	null	null	null	null
saât:2	bak:v	null	null	null	null	null
laf:2	bak:v	null	null	null	null	null
ekran:2	bak:v	null	null	null	null	null
tepe:3	bak:v	null	null	null	null	null
tip:2	bak:v	null	null	null	null	null
tablo:2	bak:v	null	null	null	null	null
gıpta:4	bak:v	null	null	null	null	null
istatistiK:2	bak:v	null	null	null	null	null
harita:2	bak:v	null	null	null	null	null
cambaz:2	bak:v	null	null	null	null	null
resmi:2	bak:v	null	null	null	null	null
onE:v	bak:v	null	null	null	null	null
şaşkın:0	bak:v	1	null	null	null	null
falı:2	bak:v	1	null	null	null	null
çerçeve:3	bak:v	null	null	null	null	null
foto:2	bak:v	null	null	null	null	null
başlıK:2	bak:v	null	null	null	null	null
sempati:4	bak:v	null	null	null	null	null
geçmiş:2	bak:v	null	null	null	null	null
profil:2	bak:v	null	null	null	null	null
fal:0	bak:v	1	null	null	null	null
telefon:2	bak:v	null	null	null	null	null
genel:2	bak:v	null	null	null	null	null
iş:2	bak:v	null	null	null	null	null
dışarı:3	bak:v	null	null	null	null	null
gözlüK:4	bak:v	null	null	null	null	null
tipi:2	bak:v	null	null	null	null	null
dön:v	bak:v	1	null	null	null	null
örneK:2	bak:v	null	null	null	null	null
kuşku:4	bak:v	1	null	null	null	null
avâl:0	bak:v	null	null	null	null	null
şu&:2	bak:v	null	null	null	null	null
dağılım:2	bak:v	null	null	null	null	null
oran:2	bak:v	null	null	null	null	null
bili:0	bak:v	null	null	null	null	null
şüphe:4	bak:v	null	null	null	null	null
uzaK:2	bak:v	1	null	null	null	null
ben:2	bak:v	1	null	null	null	null
tavan:2	bak:v	null	null	null	null	null
görüntü:2	bak:v	null	null	null	null	null
sonuÇ:2	bak:v	1	null	null	null	null
manzara:2	bak:v	null	null	null	null	null
sayı:2	bak:v	null	null	null	null	null
uÇ:4	bak:v	1	null	null	null	null
video:2	bak:v	null	null	null	null	null
durum:2	bak:v	null	null	null	null	null
rakam:2	bak:v	null	null	null	null	null
üzüm:2	bak:v	null	null	null	null	null
içeriK:2	bak:v	null	null	null	null	null
fragman:2	bak:v	null	null	null	null	null
yıldız:2	bak:v	null	null	null	null	null
dikkatli:0	bak:v	null	null	null	null	null
maç:2	bak:v	1	null	null	null	null
dikkatli:7	bak:v	null	null	null	null	null
is$im:2	bak:v	null	null	null	null	null
not:2	bak:v	null	null	null	null	null
sayfa:2	bak:v	null	null	null	null	null
olay:2	bak:v	1	null	null	null	null
haber:2	bak:v	null	null	null	null	null
performans:2	bak:v	null	null	null	null	null
şey:2	bak:v	null	null	null	null	null
tarihi:2	bak:v	null	null	null	null	null
sözlüK:2	bak:v	null	null	null	null	null
cam:3	bak:v	null	null	null	null	null
fiyat:2	bak:v	null	null	null	null	null
yaş:2	bak:v	null	null	null	null	null
dikkatlE:v	bak:v	null	null	null	null	null
çocuK:2	bak:v	null	null	null	null	null
etiket:2	bak:v	null	null	null	null	null
bütün:2	bak:v	null	null	null	null	null
pos:2	bak:v	null	null	null	null	null
kamera:2	bak:v	null	null	null	null	null
gösterge:2	bak:v	null	null	null	null	null
düğme:2	bas:v	null	null	null	null	null
tuş:2	bas:v	null	null	null	null	null
bağ$ır:2	bas:v	null	null	null	null	null
fren:2	bas:v	null	null	null	null	null
buton:2	bas:v	1	null	null	null	null
korna:2	bas:v	null	null	null	null	null
bas:v	bas:v	null	null	null	null	null
tıkE:v	bas:v	null	null	null	null	null
kadem:0	bas:v	null	null	null	null	null
